Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
"BT1","LiPo","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",-122.700000,-85.150000,180.000000,bottom
"C1","10u","C_0603_1608Metric",-128.187500,-96.522719,-90.000000,bottom
"C2","10u","C_0603_1608Metric",-127.500002,-98.825000,0.000000,bottom
"C3","100n","C_0402_1005Metric",-120.650000,-81.400000,135.000000,bottom
"C4","100n","C_0402_1005Metric",-54.300000,-87.800000,180.000000,bottom
"C5","10u","C_0603_1608Metric",-120.900002,-94.525000,180.000000,bottom
"C6","33p","C_0402_1005Metric",-47.577280,-99.700000,-90.000000,bottom
"C7","33p","C_0402_1005Metric",-41.577280,-100.650000,0.000000,bottom
"C8","100n","C_0402_1005Metric",-39.333719,-100.660000,-90.000000,bottom
"C9","100n","C_0402_1005Metric",-40.800000,-84.800000,180.000000,bottom
"C10","1u","C_0402_1005Metric",-40.800000,-88.100000,180.000000,bottom
"C11","1u","C_0402_1005Metric",-38.520000,-88.200000,180.000000,bottom
"C12","100n","C_0402_1005Metric",-40.800000,-86.100000,180.000000,bottom
"C13","100n","C_0402_1005Metric",-40.800000,-87.100000,180.000000,bottom
"C14","100n","C_0402_1005Metric",-36.500000,-93.100000,180.000000,bottom
"C15","100n","C_0402_1005Metric",-38.000000,-89.700000,90.000000,bottom
"C16","100n","C_0402_1005Metric",-39.827280,-102.150000,180.000000,bottom
"C17","100n","C_0402_1005Metric",-47.233719,-92.650000,90.000000,bottom
"C18","100n","C_0402_1005Metric",-47.453719,-89.250000,0.000000,bottom
"C19","100n","C_0402_1005Metric",-75.300000,-74.600000,90.000000,bottom
"D1","1N5819WS","D_SOD-323",-124.250000,-98.525000,0.000000,bottom
"D3","1N5819WS","D_SOD-323",-122.850000,-68.350000,180.000000,bottom
"D4","4148","D_SOD-323",-44.030000,-107.150000,90.000000,bottom
"D5","4148","D_SOD-323",-55.600000,-107.150000,90.000000,bottom
"D6","4148","D_SOD-323",-67.160000,-107.150000,90.000000,bottom
"D7","4148","D_SOD-323",-78.730000,-107.149999,90.000000,bottom
"D8","4148","D_SOD-323",-90.300000,-107.150000,90.000000,bottom
"D9","4148","D_SOD-323",-101.860000,-107.150000,90.000000,bottom
"D10","4148","D_SOD-323",-113.430000,-107.150000,90.000000,bottom
"D11","4148","D_SOD-323",-125.000000,-107.150000,90.000000,bottom
"D12","4148","D_SOD-323",-38.250000,-107.150000,90.000000,bottom
"D13","4148","D_SOD-323",-52.340000,-114.900000,90.000000,bottom
"D14","4148","D_SOD-323",-63.899999,-114.900000,90.000000,bottom
"D15","4148","D_SOD-323",-75.560000,-114.899999,90.000000,bottom
"D16","4148","D_SOD-323",-87.145001,-114.900000,90.000000,bottom
"D17","4148","D_SOD-323",-98.780000,-114.900000,90.000000,bottom
"D18","4148","D_SOD-323",-110.440000,-114.900000,90.000000,bottom
"D19","4148","D_SOD-323",-120.500000,-122.650000,90.000000,bottom
"D20","4148","D_SOD-323",-39.750000,-114.900000,90.000000,bottom
"D21","4148","D_SOD-323",-48.440000,-122.650000,90.000000,bottom
"D22","4148","D_SOD-323",-59.999999,-122.650000,90.000000,bottom
"D23","4148","D_SOD-323",-71.400000,-122.650000,90.000000,bottom
"D24","4148","D_SOD-323",-82.810000,-122.650000,90.000000,bottom
"D25","4148","D_SOD-323",-94.370001,-122.650000,90.000000,bottom
"D26","4148","D_SOD-323",-105.770000,-122.650000,90.000000,bottom
"D27","4148","D_SOD-323",-123.250000,-130.400000,90.000000,bottom
"D28","4148","D_SOD-323",-38.250000,-122.650000,90.000000,bottom
"D29","4148","D_SOD-323",-44.750001,-130.400000,90.000000,bottom
"D30","4148","D_SOD-323",-56.969999,-130.400000,90.000000,bottom
"D31","4148","D_SOD-323",-68.530000,-130.400000,90.000000,bottom
"D32","4148","D_SOD-323",-80.000001,-130.400000,90.000000,bottom
"D33","4148","D_SOD-323",-91.469999,-130.400000,90.000000,bottom
"D34","4148","D_SOD-323",-103.030000,-130.400000,90.000000,bottom
"D35","4148","D_SOD-323",-117.250000,-130.400000,90.000000,bottom
"D36","4148","D_SOD-323",-74.330000,-137.400000,180.000000,bottom
"D37","4148","D_SOD-323",-51.250000,-130.400000,90.000000,bottom
"D38","4148","D_SOD-323",-62.750001,-130.400000,90.000000,bottom
"D39","4148","D_SOD-323",-74.219999,-130.400000,90.000000,bottom
"D40","4148","D_SOD-323",-85.780000,-130.400000,90.000000,bottom
"D41","4148","D_SOD-323",-97.250001,-130.400000,90.000000,bottom
"D42","4148","D_SOD-323",-110.000000,-130.400000,90.000000,bottom
"D43","4148","D_SOD-323",-134.250000,-107.150000,90.000000,bottom
"D44","4148","D_SOD-323",-38.250000,-130.400001,90.000000,bottom
"D45","4148","D_SOD-323",-54.220000,-122.650000,90.000000,bottom
"D46","4148","D_SOD-323",-65.620001,-122.650000,90.000000,bottom
"D47","4148","D_SOD-323",-77.180000,-122.650000,90.000000,bottom
"D48","4148","D_SOD-323",-88.589999,-122.650000,90.000000,bottom
"D49","4148","D_SOD-323",-99.990000,-122.650000,90.000000,bottom
"D50","4148","D_SOD-323",-111.550000,-122.650000,90.000000,bottom
"D51","4148","D_SOD-323",-134.250000,-114.899999,90.000000,bottom
"D52","4148","D_SOD-323",-46.499999,-114.900000,90.000000,bottom
"D53","4148","D_SOD-323",-58.120000,-114.900000,90.000000,bottom
"D54","4148","D_SOD-323",-69.780000,-114.900000,90.000000,bottom
"D55","4148","D_SOD-323",-81.340000,-114.900000,90.000000,bottom
"D56","4148","D_SOD-323",-93.000000,-114.900000,90.000000,bottom
"D57","4148","D_SOD-323",-104.660000,-114.900000,90.000000,bottom
"D58","4148","D_SOD-323",-116.220000,-114.900000,90.000000,bottom
"D59","4148","D_SOD-323",-134.250000,-122.650000,90.000000,bottom
"D60","4148","D_SOD-323",-49.820000,-107.149999,90.000000,bottom
"D61","4148","D_SOD-323",-61.380000,-107.150000,90.000000,bottom
"D62","4148","D_SOD-323",-72.950000,-107.150000,90.000000,bottom
"D63","4148","D_SOD-323",-84.510000,-107.150000,90.000000,bottom
"D64","4148","D_SOD-323",-96.080000,-107.150000,90.000000,bottom
"D65","4148","D_SOD-323",-107.650001,-107.150000,90.000000,bottom
"D66","4148","D_SOD-323",-119.210000,-107.150000,90.000000,bottom
"D67","4148","D_SOD-323",-134.250000,-130.400001,90.000000,bottom
"J3","ICSP","PinHeader_2x03_P2.54mm_Vertical",-111.975000,-71.675000,0.000000,bottom
"Q1","BSS84","SOT-23",-124.300002,-95.525000,90.000000,bottom
"Q2","BSS84","SOT-23",-51.337500,-101.840000,0.000000,bottom
"R1","100k","R_0402_1005Metric",-126.550002,-97.025000,-90.000000,bottom
"R2","1k","R_0402_1005Metric",-46.593719,-88.200000,180.000000,bottom
"R3","2k","R_0402_1005Metric",-128.187500,-93.522719,90.000000,bottom
"R4","680","R_0402_1005Metric",-135.000000,-76.500000,180.000000,bottom
"R5","10k","R_0402_1005Metric",-120.650000,-68.350000,-90.000000,bottom
"R6","1k","R_0402_1005Metric",-41.577280,-99.650000,0.000000,bottom
"R7","27.4","R_0402_1005Metric",-130.300000,-81.400000,0.000000,bottom
"R8","27.4","R_0402_1005Metric",-130.299290,-82.450000,0.000000,bottom
"R9","10k","R_0402_1005Metric",-48.650000,-102.390000,90.000000,bottom
"R10","10","R_0402_1005Metric",-48.665009,-100.413201,-90.000000,bottom
"R11","10k","R_0402_1005Metric",-38.300000,-101.700000,90.000000,bottom
"R12","10k","R_0402_1005Metric",-37.100000,-94.600000,-90.000000,bottom
"U1","ATmega328PB-A","TQFP-32_7x7mm_P0.8mm",-124.950421,-77.141863,45.000000,bottom
"U2","MCP73831","SOT-23-5",-131.062500,-94.750000,180.000000,bottom
"U3","XC6210B332MR","SOT-23-5",-120.850002,-97.425000,90.000000,bottom
"U4","W25Q16JVSS","SOIC-8_5.23x5.23mm_P1.27mm",-52.583719,-93.025000,90.000000,bottom
"U5","RP2040","RP2040",-42.633719,-92.750000,180.000000,bottom
"Y1","X322512M","Crystal_SMD_3225-4Pin_3.2x2.5mm",-44.877280,-99.430000,180.000000,bottom
