Ref,Val,Package,PosX,PosY,Rot,Side
"D2","RED","LED_D3.0mm",133.360000,-74.800000,0.000000,top
"J1","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",38.500000,-72.775000,180.000000,top
"J2","USB_B_Micro","USB_Micro-B_Amphenol_10118194_Horizontal",134.577280,-81.600000,90.000000,top
"J5","ILI9341","ILI9341",86.226800,-82.125009,180.000000,top
"J6","Micro_SD_Card","Conn_uSDcard",130.999998,-94.150000,90.000000,top
"LS1","Speaker","Buzzer_CUI_CPT-9019S-SMT",48.100000,-66.150000,135.000000,top
"SW1","0x0","SW_SPST_PTS647",44.030000,-107.150000,90.000000,top
"SW2","1x0","SW_SPST_PTS647",55.600000,-107.150000,90.000000,top
"SW3","2x0","SW_SPST_PTS647",67.160000,-107.150000,90.000000,top
"SW4","3x0","SW_SPST_PTS647",78.730000,-107.149999,90.000000,top
"SW5","4x0","SW_SPST_PTS647",90.300000,-107.150000,90.000000,top
"SW6","5x0","SW_SPST_PTS647",101.860000,-107.150000,90.000000,top
"SW7","6x0","SW_SPST_PTS647",113.430000,-107.150000,90.000000,top
"SW8","7x0","SW_SPST_PTS647",125.000000,-107.150000,90.000000,top
"SW9","0x1","SW_SPST_PTS647",38.250000,-107.150000,90.000000,top
"SW10","1x1","SW_SPST_PTS647",52.340000,-114.900000,90.000000,top
"SW11","2x1","SW_SPST_PTS647",63.899999,-114.900000,90.000000,top
"SW12","3x1","SW_SPST_PTS647",75.560000,-114.899999,90.000000,top
"SW13","4x1","SW_SPST_PTS647",87.145001,-114.900000,90.000000,top
"SW14","5x1","SW_SPST_PTS647",98.780000,-114.900000,90.000000,top
"SW15","6x1","SW_SPST_PTS647",110.440000,-114.900000,90.000000,top
"SW16","7x1","SW_SPST_PTS647",120.500000,-122.650000,90.000000,top
"SW17","0x2","SW_SPST_PTS647",39.750000,-114.900000,90.000000,top
"SW18","1x2","SW_SPST_PTS647",48.440000,-122.650000,90.000000,top
"SW19","2x2","SW_SPST_PTS647",59.999999,-122.650000,90.000000,top
"SW20","3x2","SW_SPST_PTS647",71.400000,-122.650000,90.000000,top
